标题链接,ID,名称,字段1,评分,点赞,投币,收藏,分享,播放/弹幕/追番
https://www.bilibili.com/bangumi/play/ss44152?from_spmid=666.14.0.0,BV1CA411S7q4,虚构推理 第二季,"漫画改 / 奇幻 / 恋爱 / 神魔,·,2023,·,已完结, 全12话,·",9.6分,13.4万,4万,1.9万,6366,5028.2万播放  ·  15.2万弹幕  ·  607.2万系列追番
https://www.bilibili.com/bangumi/play/ss43141?from_spmid=666.14.0.0,BV1qg411a7d1,路人超能100 III(灵能百分百 第三季),"漫画改 / 奇幻 / 热血 / 战斗,·,2022,·,已完结, 全12话,·",9.9分,25.3万,13.8万,3.1万,1.8万,1.1亿播放  ·  40.7万弹幕  ·  621.2万系列追番
https://www.bilibili.com/bangumi/play/ss25681?from_spmid=666.14.0.0,BV1nW41127fv,JOJO的奇妙冒险 黄金之风,"冒险 / 漫画改 / 战斗 / 智斗,·,2018,·,已完结, 全39话,·",9.8分,29万,24.5万,3.1万,6.2万,6.3亿播放  ·  482.4万弹幕  ·  1024.2万系列追番
https://www.bilibili.com/bangumi/play/ss2580?from_spmid=666.14.0.0,BV1Ts411S76i,干物妹！小埋,"萌系 / 日常,·,2015,·,已完结, 全12话,·",9.3分,18.1万,10.8万,4.3万,7.8万,2.1亿播放  ·  622.1万弹幕  ·  827.5万系列追番
https://www.bilibili.com/bangumi/play/ss24581?from_spmid=666.14.0.0,BV13s411J7jn,碧蓝之海,"社团 / 漫画改 / 搞笑 / 运动,·,2018,·,已完结, 全12话,·",9.9分,47.8万,27.1万,8.5万,12.5万,2.2亿播放  ·  115.6万弹幕  ·  543.4万追番
https://www.bilibili.com/bangumi/play/ss835?from_spmid=666.14.0.0,BV1rx411N7wm,我们仍未知道那天所看见的花的名字。,"催泪 / 原创 / 日常 / 治愈,·,2011,·,已完结, 全11话,·",9.6分,44万,55.9万,9.7万,17.3万,9315.8万播放  ·  467万弹幕  ·  567.7万系列追番
https://www.bilibili.com/bangumi/play/ss1539?from_spmid=666.14.0.0,BV17L411M7Ym,我的青春恋爱物语果然有问题。,"恋爱 / 小说改 / 日常 / 校园,·,2013,·,已完结, 全13话,·",9.7分,6.9万,4.8万,1.2万,9737,1.4亿播放  ·  578.5万弹幕  ·  775.3万系列追番
https://www.bilibili.com/bangumi/play/ss28625?from_spmid=666.14.0.0,BV1WE411Q7Jo,这个勇者明明超强却过分慎重,"冒险 / 架空 / 小说改 / 穿越,·,2019,·,已完结, 全12话,·",9.7分,18.8万,16万,2.2万,8748,1.9亿播放  ·  158.4万弹幕  ·  526.9万追番
https://www.bilibili.com/bangumi/play/ss39481?from_spmid=666.14.0.0,BV1fi4y1d7N6,"世界顶尖的暗杀者,转生为异世界贵族","小说改 / 穿越 / 战斗,·,2021,·,已完结, 全12话,·",9.2分,24.9万,23.3万,2.6万,2.2万,1.7亿播放  ·  103.9万弹幕  ·  524.2万追番
https://www.bilibili.com/bangumi/play/ss33378?from_spmid=666.14.0.0,BV1ob4y1t74Q,名侦探柯南,"漫画改 / 推理 / 智斗 / 悬疑,·,1996,·,连载中, #1222 06/07更新,·",9.7分,2791,845,399,58,13.2亿播放  ·  3.1亿弹幕  ·  869.9万系列追番
